Index, u_t(us), y_t(us), u(rad), Theta(rad), Omega(rad/s), Omega_ref(rad/s)
9115, 35495455, 35495987, 1.52482224, 1.64129829, -2.55555725, -0.28846979
9116, 35496455, 35496983, 1.52016139, 1.63824654, -2.58730316, -0.28846979
9117, 35497455, 35497993, 1.51548934, 1.63519478, -2.65079498, -0.40385768
9118, 35498455, 35498986, 1.51081502, 1.63252449, -2.68254089, -0.28846979
9119, 35499455, 35499990, 1.50614893, 1.62947273, -2.74603271, -0.63463354
9120, 35500455, 35500990, 1.50150275, 1.62642097, -2.77777863, -0.28846979
9121, 35501455, 35501990, 1.49689102, 1.62336922, -2.84127045, -0.17308187
9122, 35502455, 35502982, 1.49232900, 1.62069893, -2.90476227, -0.05769395
9123, 35503455, 35503985, 1.48783469, 1.61726570, -2.93650818, -0.28846979
9124, 35504455, 35504991, 1.48342860, 1.61421394, -3.00000000, 0.17308187
9125, 35505455, 35505989, 1.47913492, 1.61116219, -3.03174591, -0.05769395
9126, 35506455, 35506985, 1.47497737, 1.60772896, -3.09523773, 0.05769395
9127, 35507455, 35507987, 1.47097909, 1.60429573, -3.12698364, 0.05769395
9128, 35508455, 35508985, 1.46716583, 1.60086250, -3.19047546, -0.40385768
9129, 35509455, 35509986, 1.46356094, 1.59781075, -3.22222137, -0.05769395
9130, 35510455, 35510988, 1.46018934, 1.59437752, -3.25396729, -0.17308187
9131, 35511455, 35511990, 1.45707190, 1.59094334, -3.28571320, -0.17308187
9132, 35512455, 35512992, 1.45422959, 1.58751011, -3.31745911, -0.17308187
9133, 35513455, 35513986, 1.45168316, 1.58407688, -3.31745911, 0.05769395
9134, 35514455, 35514984, 1.44945478, 1.58064365, -3.38095093, 0.17308187
9135, 35515455, 35515989, 1.44756317, 1.57759190, -3.38095093, -0.05769395
9136, 35516455, 35516991, 1.44602847, 1.57377720, -3.38095093, -0.05769395
9137, 35517455, 35517989, 1.44486463, 1.57034397, -3.44444275, -0.05769395
9138, 35518455, 35518993, 1.44407928, 1.56691074, -3.47618866, -0.17308187
9139, 35519455, 35519991, 1.44367278, 1.56309605, -3.47618866, -0.17308187
9140, 35520455, 35520988, 1.44363332, 1.55966282, -3.50793839, 0.05769395
9141, 35521455, 35521988, 1.44393623, 1.55584812, -3.53968430, -0.17308187
9142, 35522455, 35522986, 1.44454598, 1.55241489, -3.57143021, 0.28846979
9143, 35523455, 35523984, 1.44541550, 1.54860020, -3.60317612, 0.28846979
9144, 35524455, 35524982, 1.44649518, 1.54478550, -3.63492203, 0.05769395
9145, 35525455, 35525982, 1.44773555, 1.54097080, -3.63492203, 0.28846979
9146, 35526455, 35526983, 1.44909465, 1.53791904, -3.63492203, 0.40385768
9147, 35527455, 35527985, 1.45053351, 1.53410435, -3.66666794, 0.28846979
9148, 35528455, 35528979, 1.45202219, 1.53067017, -3.66666794, 0.63463354
9149, 35529455, 35529979, 1.45353353, 1.52723694, -3.60317612, 0.75002146
9150, 35530455, 35530981, 1.45504797, 1.52380371, -3.60317612, 0.98079723
9151, 35531455, 35531977, 1.45655167, 1.52037048, -3.53968430, 1.55773675
9152, 35532455, 35532982, 1.45803297, 1.51731873, -3.53968430, 1.21157312
9153, 35533455, 35533982, 1.45948386, 1.51426697, -3.44444275, 1.55773675
9154, 35534455, 35534980, 1.46089864, 1.51121521, -3.38095093, 1.44234896
9155, 35535455, 35535982, 1.46227694, 1.50854492, -3.25396729, 1.78851259
9156, 35536455, 35536980, 1.46362162, 1.50587463, -3.15872955, 1.67312467
9157, 35537455, 35537981, 1.46493816, 1.50358582, -3.06349182, 2.01928854
9158, 35538455, 35538979, 1.46623421, 1.50091553, -2.96825409, 1.44234896
9159, 35539455, 35539981, 1.46751881, 1.49862671, -2.80952454, 1.32696104
9160, 35540455, 35540981, 1.46880126, 1.49633789, -2.65079498, 1.32696104
9161, 35541455, 35541979, 1.47009015, 1.49481201, -2.52381134, 1.21157312
9162, 35542455, 35542983, 1.47139382, 1.49290466, -2.39682388, 1.55773675
9163, 35543455, 35543980, 1.47272122, 1.49099731, -2.26984024, 1.44234896
9164, 35544455, 35544984, 1.47407973, 1.48985291, -2.14285660, 1.32696104
9165, 35545455, 35545982, 1.47547412, 1.48832703, -1.98412704, 1.55773675
9166, 35546455, 35546980, 1.47690868, 1.48680115, -1.85714340, 1.44234896
9167, 35547455, 35547982, 1.47838688, 1.48565674, -1.73015976, 1.67312467
9168, 35548455, 35548979, 1.47991097, 1.48451233, -1.60317612, 1.21157312
9169, 35549455, 35549981, 1.48148429, 1.48336792, -1.47618866, 1.44234896
9170, 35550455, 35550985, 1.48310947, 1.48298645, -1.34920502, 1.09618521
9171, 35551455, 35551981, 1.48478997, 1.48184204, -1.22222137, 1.32696104
9172, 35552455, 35552979, 1.48652792, 1.48146057, -1.09523773, 1.32696104
9173, 35553455, 35553979, 1.48832440, 1.48069763, -1.00000000, 0.98079723
9174, 35554455, 35554980, 1.49017966, 1.48031616, -0.90476227, 0.98079723
9175, 35555455, 35555978, 1.49209464, 1.47993469, -0.80952454, 0.86540931
9176, 35556455, 35556978, 1.49407089, 1.47955322, -0.68254089, 0.86540931
9177, 35557455, 35557990, 1.49610960, 1.47917175, -0.61904907, 0.98079723
9178, 35558455, 35558978, 1.49821103, 1.47879028, -0.52381134, 0.86540931
9179, 35559455, 35559976, 1.50037539, 1.47879028, -0.46031952, 0.98079723
9180, 35560455, 35560977, 1.50260425, 1.47879028, -0.36508179, 0.86540931
9181, 35561455, 35561993, 1.50489902, 1.47879028, -0.26984406, 1.09618521
9182, 35562455, 35562977, 1.50726032, 1.47917175, -0.17460632, 0.98079723
9183, 35563455, 35563975, 1.50968742, 1.47917175, -0.11111450, 0.98079723
9184, 35564455, 35564977, 1.51218128, 1.47955322, -0.04762268, 0.98079723
9185, 35565455, 35565980, 1.51474237, 1.47993469, 0.01587677, 0.98079723
9186, 35566455, 35566980, 1.51737058, 1.48031616, 0.11111450, 1.09618521
9187, 35567455, 35567978, 1.52006507, 1.48069763, 0.17460632, 0.98079723
9188, 35568455, 35568990, 1.52282465, 1.48146057, 0.23809814, 1.21157312
9189, 35569455, 35569976, 1.52564764, 1.48184204, 0.30158997, 1.09618521
9190, 35570455, 35570988, 1.52853274, 1.48260498, 0.36508179, 1.44234896
9191, 35571455, 35571993, 1.53147852, 1.48298645, 0.42857361, 1.09618521
9192, 35572455, 35572979, 1.53448415, 1.48413086, 0.49206543, 1.09618521
9193, 35573455, 35573975, 1.53754807, 1.48489380, 0.55555725, 0.86540931
9194, 35574455, 35574975, 1.54066765, 1.48603821, 0.61904907, 0.98079723
9195, 35575455, 35575975, 1.54383981, 1.48641968, 0.68254089, 1.32696104
9196, 35576455, 35576976, 1.54706228, 1.48756409, 0.74603271, 1.21157312
9197, 35577455, 35577976, 1.55033195, 1.48870850, 0.80952454, 1.09618521
9198, 35578455, 35578978, 1.55364609, 1.49023438, 0.87301636, 1.09618521
9199, 35579455, 35579974, 1.55700147, 1.49099731, 0.93650818, 0.86540931
9200, 35580455, 35580976, 1.56039369, 1.49252319, 1.00000000, 1.09618521
9201, 35581455, 35581976, 1.56381953, 1.49366760, 1.03174591, 0.98079723
9202, 35582455, 35582991, 1.56727660, 1.49519348, 1.09523773, 0.98079723
9203, 35583455, 35583973, 1.57076108, 1.49633789, 1.15872955, 0.75002146
9204, 35584455, 35584987, 1.57426977, 1.49786377, 1.22222137, 0.86540931
9205, 35585455, 35585987, 1.57779920, 1.49977112, 1.28571320, 0.75002146
9206, 35586455, 35586975, 1.58134627, 1.50129700, 1.34920502, 0.98079723
9207, 35587455, 35587987, 1.58490765, 1.50320435, 1.41269684, 1.32696104
9208, 35588455, 35588984, 1.58847988, 1.50473022, 1.47618866, 1.09618521
9209, 35589455, 35589986, 1.59206045, 1.50663757, 1.53968048, 1.09618521
9210, 35590455, 35590986, 1.59564662, 1.50816345, 1.60317230, 0.86540931
9211, 35591455, 35591984, 1.59923649, 1.51007080, 1.66666412, 1.09618521
9212, 35592455, 35592988, 1.60282850, 1.51235962, 1.69841003, 0.98079723
9213, 35593455, 35593986, 1.60642052, 1.51426697, 1.76190186, 1.32696104
9214, 35594455, 35594970, 1.61001086, 1.51617432, 1.82539368, 1.21157312
9215, 35595455, 35595983, 1.61359835, 1.51846313, 1.85713959, 0.86540931
9216, 35596455, 35596987, 1.61718273, 1.52037048, 1.92063141, 0.86540931
9217, 35597455, 35597987, 1.62076354, 1.52265930, 1.98412323, 0.86540931
9218, 35598455, 35598989, 1.62433982, 1.52494812, 2.01587677, 0.51924562
9219, 35599455, 35599991, 1.62791002, 1.52723694, 2.07936859, 0.51924562
9220, 35600455, 35600986, 1.63147402, 1.52914429, 2.11111450, 0.75002146
9221, 35601455, 35601992, 1.63503170, 1.53181553, 2.17460632, 1.09618521
9222, 35602455, 35602986, 1.63858426, 1.53410435, 2.20635223, 0.28846979
9223, 35603455, 35603986, 1.64213192, 1.53639317, 2.23809814, 0.75002146
9224, 35604455, 35604982, 1.64567399, 1.53868198, 2.30158997, 0.75002146
9225, 35605455, 35605985, 1.64921141, 1.54135227, 2.30158997, 0.75002146
9226, 35606455, 35606989, 1.65274394, 1.54402256, 2.33333588, 0.86540931
9227, 35607455, 35607985, 1.65627098, 1.54631138, 2.36508179, 0.63463354
9228, 35608455, 35608987, 1.65979183, 1.54898167, 2.39682770, 0.98079723
9229, 35609455, 35609983, 1.66330683, 1.55165195, 2.42857361, 0.86540931
9230, 35610455, 35610985, 1.66681671, 1.55394077, 2.46031952, 0.63463354
9231, 35611455, 35611986, 1.67032170, 1.55699253, 2.49206543, 0.40385768
9232, 35612455, 35612992, 1.67382288, 1.55966282, 2.52381134, 0.63463354
9233, 35613455, 35613986, 1.67732036, 1.56195164, 2.58730316, 0.28846979
9234, 35614455, 35614988, 1.68081474, 1.56462193, 2.61904907, 0.51924562
9235, 35615455, 35615980, 1.68430579, 1.56729221, 2.58730316, 0.51924562
9236, 35616455, 35616978, 1.68779254, 1.57034397, 2.61904907, 0.40385768
9237, 35617455, 35617981, 1.69127476, 1.57301426, 2.65079498, 0.75002146
9238, 35618455, 35618981, 1.69475281, 1.57606602, 2.71428680, 0.75002146
9239, 35619455, 35619977, 1.69822621, 1.57873631, 2.71428680, 0.86540931
9240, 35620455, 35620977, 1.70169544, 1.58140659, 2.71428680, 0.86540931
9241, 35621455, 35621977, 1.70516002, 1.58407688, 2.74603271, 0.75002146
9242, 35622455, 35622981, 1.70861936, 1.58751011, 2.74603271, 0.63463354
9243, 35623455, 35623978, 1.71207249, 1.59018040, 2.80952454, 0.40385768
9244, 35624455, 35624976, 1.71551740, 1.59323215, 2.84127045, 0.51924562
9245, 35625455, 35625982, 1.71895242, 1.59628487, 2.84127045, 0.51924562
9246, 35626455, 35626980, 1.72237706, 1.59933662, 2.87301636, -0.05769395
9247, 35627455, 35627984, 1.72579038, 1.60238838, 2.90476227, 0.86540931
9248, 35628455, 35628976, 1.72919047, 1.60544014, 2.93650818, 0.63463354
9249, 35629455, 35629979, 1.73257577, 1.60849190, 2.96825409, 0.86540931
9250, 35630455, 35630979, 1.73594427, 1.61154366, 3.00000000, 0.75002146
9251, 35631455, 35631975, 1.73929310, 1.61459541, 3.00000000, 0.75002146
9252, 35632455, 35632987, 1.74261951, 1.61764717, 3.03174591, 0.86540931
9253, 35633455, 35633981, 1.74592066, 1.62069893, 3.06349182, 0.51924562
9254, 35634455, 35634981, 1.74919438, 1.62413216, 3.09523773, 0.40385768
9255, 35635455, 35635982, 1.75243831, 1.62718391, 3.09523773, 0.51924562
9256, 35636455, 35636980, 1.75564849, 1.63023567, 3.09523773, 0.28846979
9257, 35637455, 35637974, 1.75882196, 1.63328743, 3.09523773, 0.40385768
9258, 35638455, 35638978, 1.76195681, 1.63672066, 3.12698364, 0.63463354
9259, 35639455, 35639974, 1.76505053, 1.63977242, 3.12698364, 0.63463354
9260, 35640455, 35640981, 1.76810038, 1.64282417, 3.15872955, 0.86540931
9261, 35641455, 35641979, 1.77110362, 1.64587593, 3.15872955, 0.75002146
9262, 35642455, 35642979, 1.77405858, 1.64930916, 3.12698364, 0.51924562
9263, 35643455, 35643985, 1.77696264, 1.65236092, 3.12698364, 1.09618521
9264, 35644455, 35644981, 1.77981353, 1.65541267, 3.15872955, 0.28846979
9265, 35645455, 35645979, 1.78260899, 1.65884686, 3.15872955, 0.63463354
9266, 35646455, 35646988, 1.78534687, 1.66228008, 3.15872955, 0.40385768
9267, 35647455, 35647984, 1.78802443, 1.66533184, 3.15872955, 0.40385768
9268, 35648455, 35648976, 1.79063964, 1.66838360, 3.15872955, 0.63463354
9269, 35649455, 35649984, 1.79319096, 1.67181683, 3.15872955, 0.17308187
9270, 35650455, 35650982, 1.79567695, 1.67486858, 3.15872955, 0.51924562
9271, 35651455, 35651978, 1.79809570, 1.67830181, 3.19047546, 0.51924562
9272, 35652455, 35652981, 1.80044532, 1.68135357, 3.19047546, 0.63463354
9273, 35653455, 35653985, 1.80272269, 1.68440533, 3.19047546, 0.40385768
9274, 35654455, 35654989, 1.80492485, 1.68783855, 3.19047546, 0.17308187
9275, 35655455, 35655975, 1.80704987, 1.69089031, 3.19047546, 0.28846979
9276, 35656455, 35656981, 1.80909622, 1.69432354, 3.19047546, 0.40385768
9277, 35657455, 35657982, 1.81106317, 1.69737530, 3.19047546, 0.51924562
9278, 35658455, 35658984, 1.81294894, 1.70042706, 3.15872955, -0.05769395
9279, 35659455, 35659980, 1.81475127, 1.70347881, 3.15872955, 0.40385768
9280, 35660455, 35660988, 1.81646836, 1.70653057, 3.12698364, 0.17308187
9281, 35661455, 35661984, 1.81809843, 1.70958233, 3.09523773, 0.28846979
9282, 35662455, 35662989, 1.81964052, 1.71263409, 3.09523773, 0.17308187
9283, 35663455, 35663985, 1.82109416, 1.71568584, 3.06349182, 0.63463354
9284, 35664455, 35664975, 1.82245743, 1.71835613, 3.03174591, 0.28846979
9285, 35665455, 35665989, 1.82372820, 1.72140884, 3.03174591, 0.17308187
9286, 35666455, 35666985, 1.82490528, 1.72446060, 3.00000000, 0.17308187
9287, 35667455, 35667983, 1.82598734, 1.72713089, 2.96825409, 0.05769395
9288, 35668455, 35668982, 1.82697213, 1.73018265, 2.93650818, 0.17308187
9289, 35669455, 35669988, 1.82785821, 1.73285294, 2.93650818, 0.05769395
9290, 35670455, 35670982, 1.82864320, 1.73590469, 2.90476227, 0.28846979
9291, 35671455, 35671986, 1.82932472, 1.73857498, 2.87301636, 0.05769395
9292, 35672455, 35672984, 1.82990050, 1.74124527, 2.84127045, 0.05769395
9293, 35673455, 35673980, 1.83036923, 1.74391556, 2.80952454, -0.05769395
9294, 35674455, 35674981, 1.83073008, 1.74658585, 2.77777863, -0.05769395
9295, 35675455, 35675985, 1.83098221, 1.74887466, 2.74603271, -0.05769395
9296, 35676455, 35676977, 1.83112442, 1.75192642, 2.71428680, 0.28846979
9297, 35677455, 35677983, 1.83115578, 1.75421524, 2.68254089, -0.05769395
9298, 35678455, 35678985, 1.83107495, 1.75650406, 2.61904907, -0.05769395
9299, 35679455, 35679983, 1.83088183, 1.75917435, 2.58730316, -0.05769395
9300, 35680455, 35680986, 1.83057618, 1.76146317, 2.55555725, -0.05769395
9301, 35681455, 35681988, 1.83015573, 1.76375198, 2.49206543, -0.17308187
9302, 35682455, 35682986, 1.82961893, 1.76604080, 2.46031952, -0.17308187
9303, 35683455, 35683984, 1.82896674, 1.76794815, 2.39682770, -0.05769395
9304, 35684455, 35684984, 1.82819963, 1.77023697, 2.33333588, -0.17308187
9305, 35685455, 35685983, 1.82731652, 1.77252579, 2.30158997, -0.17308187
9306, 35686455, 35686983, 1.82631660, 1.77443314, 2.26984406, -0.05769395
9307, 35687455, 35687983, 1.82520008, 1.77634048, 2.17460632, 0.05769395
9308, 35688455, 35688981, 1.82396758, 1.77824783, 2.11111450, 0.05769395
9309, 35689455, 35689983, 1.82261944, 1.78015518, 2.07936859, -0.05769395
9310, 35690455, 35690990, 1.82115567, 1.78206348, 2.01587677, -0.05769395
9311, 35691455, 35691984, 1.81957746, 1.78397083, 1.95237732, -0.05769395
9312, 35692455, 35692980, 1.81788528, 1.78549671, 1.88888550, -0.28846979
9313, 35693455, 35693982, 1.81607985, 1.78702259, 1.82539368, -0.05769395
9314, 35694455, 35694982, 1.81416333, 1.78854847, 1.76190186, -0.28846979
9315, 35695455, 35695982, 1.81213748, 1.79045582, 1.69841003, -0.17308187
9316, 35696455, 35696981, 1.81000412, 1.79160023, 1.66666412, -0.28846979
9317, 35697455, 35697981, 1.80776596, 1.79312611, 1.60317230, -0.28846979
9318, 35698455, 35698985, 1.80542564, 1.79427052, 1.53968048, -0.40385768
9319, 35699455, 35699981, 1.80298686, 1.79541492, 1.50793457, -0.40385768
9320, 35700455, 35700979, 1.80045331, 1.79694080, 1.41269684, -0.63463354
9321, 35701455, 35701977, 1.79782748, 1.79770374, 1.34920502, -0.51924562
9322, 35702455, 35702978, 1.79511225, 1.79846668, 1.28571320, -0.75002146
9323, 35703455, 35703980, 1.79231167, 1.79922962, 1.19047546, -0.75002146
9324, 35704455, 35704978, 1.78942978, 1.79999256, 1.09523773, -0.40385768
9325, 35705455, 35705982, 1.78646994, 1.80037403, 1.00000000, -0.86540931
9326, 35706455, 35706976, 1.78343463, 1.80075550, 0.87301636, -0.51924562
9327, 35707455, 35707978, 1.78032756, 1.80113697, 0.74603271, -0.86540931
9328, 35708455, 35708979, 1.77715218, 1.80151844, 0.68254089, -0.86540931
9329, 35709455, 35709979, 1.77391231, 1.80189991, 0.58730316, -0.86540931
9330, 35710455, 35710979, 1.77061248, 1.80189991, 0.46031952, -0.86540931
9331, 35711455, 35711977, 1.76725602, 1.80189991, 0.36508179, -0.86540931
9332, 35712455, 35712979, 1.76384699, 1.80189991, 0.26984406, -0.51924562
9333, 35713455, 35713980, 1.76038885, 1.80151844, 0.17460632, -0.51924562
9334, 35714455, 35714976, 1.75688434, 1.80113697, 0.07936859, -0.63463354
9335, 35715455, 35715988, 1.75333619, 1.80075550, -0.01587677, -0.51924562
9336, 35716455, 35716990, 1.74974668, 1.80037403, -0.11111450, -0.51924562
9337, 35717455, 35717988, 1.74611783, 1.79999256, -0.20635223, -0.75002146
9338, 35718455, 35718974, 1.74245226, 1.79961109, -0.26984406, -1.09618521
9339, 35719455, 35719977, 1.73875141, 1.79884815, -0.36508179, -0.86540931
9340, 35720455, 35720975, 1.73501706, 1.79808521, -0.42857361, -0.63463354
9341, 35721455, 35721973, 1.73124993, 1.79694080, -0.52381134, -0.51924562
9342, 35722455, 35722973, 1.72745037, 1.79617786, -0.58730316, -0.63463354
9343, 35723455, 35723973, 1.72362101, 1.79503345, -0.68254089, -0.75002146
9344, 35724455, 35724973, 1.71976340, 1.79388905, -0.84127045, -0.63463354
9345, 35725455, 35725984, 1.71587741, 1.79274464, -0.90476227, -0.63463354
9346, 35726455, 35726976, 1.71196270, 1.79121876, -1.00000000, -0.86540931
9347, 35727455, 35727986, 1.70802033, 1.79007435, -1.06349182, -0.86540931
9348, 35728455, 35728974, 1.70405030, 1.78816700, -1.15872955, -0.86540931
9349, 35729455, 35729974, 1.70005262, 1.78702259, -1.25396729, -0.75002146
9350, 35730455, 35730983, 1.69602787, 1.78511524, -1.31745911, -0.63463354
9351, 35731455, 35731983, 1.69197583, 1.78358936, -1.57143021, -0.86540931
9352, 35732455, 35732987, 1.68789661, 1.78168201, -1.47618866, -0.40385768
9353, 35733455, 35733971, 1.68379056, 1.77977371, -1.63492203, -0.63463354
9354, 35734455, 35734985, 1.67965817, 1.77786636, -1.66666794, -0.63463354
9355, 35735455, 35735982, 1.67550004, 1.77557755, -1.73015976, -0.75002146
9356, 35736455, 35736982, 1.67131639, 1.77367020, -1.79365158, -0.98079723
9357, 35737455, 35737984, 1.66710687, 1.77138138, -1.95238113, -0.63463354
9358, 35738455, 35738988, 1.66287136, 1.76909256, -1.98412704, -0.75002146
9359, 35739455, 35739970, 1.65861142, 1.76680374, -1.88888931, -0.63463354
9360, 35740455, 35740984, 1.65432715, 1.76451492, -2.07936478, -0.51924562
9361, 35741455, 35741981, 1.65001822, 1.76184464, -2.11111069, -0.63463354
9362, 35742455, 35742969, 1.64568520, 1.75917435, -2.23809433, -0.51924562
9363, 35743455, 35743987, 1.64132786, 1.75650406, -2.33333206, -0.51924562
9364, 35744455, 35744981, 1.63694596, 1.75383377, -2.42856979, -0.28846979
9365, 35745455, 35745987, 1.63253975, 1.75116348, -2.42856979, -0.28846979
9366, 35746455, 35746983, 1.62810922, 1.74811172, -2.58730316, -0.28846979
9367, 35747455, 35747982, 1.62365484, 1.74505997, -2.65079498, -0.17308187
9368, 35748455, 35748982, 1.61917686, 1.74238968, -2.74603271, -0.28846979
9369, 35749455, 35749978, 1.61467648, 1.73895645, -2.80952454, -0.28846979
9370, 35750455, 35750982, 1.61015427, 1.73628616, -2.87301636, -0.28846979
9371, 35751455, 35751984, 1.60560930, 1.73323441, -2.93650818, -0.17308187
9372, 35752455, 35752984, 1.60104120, 1.72980118, -2.96825409, -0.40385768
9373, 35753455, 35753986, 1.59645009, 1.72674942, -3.03174591, -0.17308187
9374, 35754455, 35754985, 1.59183562, 1.72369766, -3.06349182, -0.17308187
9375, 35755455, 35755977, 1.58719695, 1.72026443, -3.09523773, -0.28846979
9376, 35756455, 35756979, 1.58253324, 1.71721172, -3.12698364, 0.17308187
9377, 35757455, 35757981, 1.57784319, 1.71377850, -3.15872955, -0.28846979
9378, 35758455, 35758981, 1.57312596, 1.71034527, -3.19047546, -0.28846979
9379, 35759455, 35759988, 1.56838107, 1.70691204, -3.22222137, -0.17308187
9380, 35760455, 35760984, 1.56360686, 1.70347881, -3.28571320, -0.17308187
9381, 35761455, 35761982, 1.55880356, 1.70042706, -3.31745911, -0.17308187
9382, 35762455, 35762980, 1.55397093, 1.69699383, -3.34920502, -0.40385768
9383, 35763455, 35763980, 1.54910696, 1.69317913, -3.38095093, -0.17308187
9384, 35764455, 35764982, 1.54420912, 1.68974590, -3.41269684, 0.05769395
9385, 35765455, 35765981, 1.53927648, 1.68593121, -3.47618866, -0.17308187
9386, 35766455, 35766979, 1.53430736, 1.68287945, -3.47618866, -0.28846979
9387, 35767455, 35767979, 1.52929986, 1.67906475, -3.50793839, -0.05769395
9388, 35768455, 35768987, 1.52425253, 1.67525005, -3.53968430, -0.17308187
9389, 35769455, 35769979, 1.51916420, 1.67143536, -3.57143021, -0.28846979
9390, 35770455, 35770990, 1.51403415, 1.66762066, -3.63492203, -0.17308187
9391, 35771455, 35771990, 1.50886154, 1.66380596, -3.66666794, -0.17308187
9392, 35772455, 35772990, 1.50364482, 1.66037273, -3.69841385, -0.17308187
9393, 35773455, 35773984, 1.49838388, 1.65655804, -3.69841385, -0.17308187
9394, 35774455, 35774988, 1.49307883, 1.65236092, -3.76190567, -0.05769395
9395, 35775455, 35775988, 1.48772848, 1.64854622, -3.79365158, 0.05769395
9396, 35776455, 35776983, 1.48233294, 1.64473152, -3.82539749, -0.28846979
9397, 35777455, 35777983, 1.47689259, 1.64091682, -3.82539749, -0.17308187
9398, 35778455, 35778985, 1.47140777, 1.63672066, -3.85714340, -0.17308187
9399, 35779455, 35779987, 1.46587813, 1.63290596, -3.88888931, -0.28846979
9400, 35780455, 35780989, 1.46030331, 1.62870979, -3.92063522, -0.17308187
9401, 35781455, 35781983, 1.45468366, 1.62489510, -3.95238113, -0.17308187
9402, 35782455, 35782990, 1.44902015, 1.62031746, -3.98412704, -0.17308187
9403, 35783455, 35783988, 1.44331419, 1.61612129, -4.01587296, 0.17308187
9404, 35784455, 35785000, 1.43756843, 1.61192513, -4.07936478, -0.05769395
9405, 35785455, 35785982, 1.43178511, 1.60772896, -4.11111069, -0.17308187
9406, 35786455, 35786986, 1.42596531, 1.60353279, -4.14285660, -0.17308187
9407, 35787455, 35787989, 1.42011058, 1.59933662, -4.17460251, -0.05769395
9408, 35788455, 35788983, 1.41422379, 1.59514046, -4.20634842, -0.17308187
9409, 35789455, 35789977, 1.40830815, 1.59056187, -4.23809433, -0.28846979
9410, 35790455, 35790985, 1.40236735, 1.58674717, -4.26984024, -0.05769395
9411, 35791455, 35791985, 1.39640522, 1.58216953, -4.26984024, 0.05769395
9412, 35792455, 35792984, 1.39042592, 1.57797337, -4.30158615, -0.17308187
9413, 35793455, 35793982, 1.38443506, 1.57339573, -4.30158615, -0.17308187
9414, 35794455, 35794984, 1.37843847, 1.56881809, -4.33333206, -0.05769395
9415, 35795455, 35795986, 1.37244356, 1.56424046, -4.36507797, -0.05769395
9416, 35796455, 35796990, 1.36645639, 1.56004429, -4.39682388, -0.17308187
9417, 35797455, 35797978, 1.36048365, 1.55546665, -4.42856979, -0.17308187
9418, 35798455, 35798981, 1.35453296, 1.55050755, -4.46031570, 0.17308187
9419, 35799455, 35799985, 1.34861243, 1.54592991, -4.49206161, -0.17308187
9420, 35800455, 35800985, 1.34273028, 1.54097080, -4.52381134, -0.17308187
9421, 35801455, 35801983, 1.33689618, 1.53639317, -4.58730316, -0.05769395
9422, 35802455, 35802989, 1.33112133, 1.53181553, -4.65079498, 0.05769395
9423, 35803455, 35803977, 1.32541788, 1.52723694, -4.68254089, -0.17308187
9424, 35804455, 35804988, 1.31979990, 1.52227783, -4.68254089, -0.17308187
9425, 35805455, 35805984, 1.31428456, 1.51731873, -4.71428680, -0.28846979
9426, 35806455, 35806988, 1.30889392, 1.51274109, -4.74603271, -0.05769395
9427, 35807455, 35807984, 1.30365026, 1.50778198, -4.77777863, 0.05769395
9428, 35808455, 35808988, 1.29858005, 1.50320435, -4.80952454, -0.17308187
9429, 35809455, 35809974, 1.29371178, 1.49824524, -4.80952454, -0.40385768
9430, 35810455, 35810985, 1.28907764, 1.49328613, -4.84127045, -0.05769395
9431, 35811455, 35811975, 1.28471279, 1.48832703, -4.84127045, 0.17308187
9432, 35812455, 35812985, 1.28065705, 1.48298645, -4.87301636, 0.28846979
9433, 35813455, 35813985, 1.27694976, 1.47802734, -4.93650818, -0.05769395
9434, 35814455, 35814983, 1.27363014, 1.47268677, -4.96825409, 0.05769395
9435, 35815455, 35815982, 1.27073371, 1.46772671, -5.00000000, -0.17308187
9436, 35816455, 35816984, 1.26828766, 1.46238613, -5.03174591, -0.05769395
9437, 35817455, 35817986, 1.26631093, 1.45742702, -5.06349182, 0.05769395
9438, 35818455, 35818984, 1.26481390, 1.45246792, -5.09523773, 0.28846979
9439, 35819455, 35819982, 1.26379538, 1.44712734, -5.09523773, 0.40385768
9440, 35820455, 35820982, 1.26323843, 1.44216824, -5.12698364, 0.17308187
9441, 35821455, 35821979, 1.26310527, 1.43682766, -5.12698364, 0.40385768
9442, 35822455, 35822979, 1.26334023, 1.43186855, -5.12698364, -0.17308187
9443, 35823455, 35823981, 1.26387429, 1.42690945, -5.12698364, 0.28846979
9444, 35824455, 35824981, 1.26464140, 1.42156887, -5.12698364, 0.86540931
9445, 35825455, 35825983, 1.26558411, 1.41660976, -5.12698364, 0.75002146
9446, 35826455, 35826980, 1.26665604, 1.41165066, -5.12698364, 0.75002146
9447, 35827455, 35827982, 1.26782095, 1.40631008, -5.12698364, 0.98079723
9448, 35828455, 35828984, 1.26905048, 1.40173149, -5.09523773, 0.98079723
9449, 35829455, 35829982, 1.27032351, 1.39677238, -5.06349182, 1.09618521
9450, 35830455, 35830978, 1.27162504, 1.39219475, -5.00000000, 1.67312467
9451, 35831455, 35831980, 1.27294731, 1.38799858, -4.90476227, 1.78851259
9452, 35832455, 35832979, 1.27428818, 1.38342094, -4.84127045, 1.67312467
9453, 35833455, 35833981, 1.27564871, 1.37922478, -4.71428680, 1.55773675
9454, 35834455, 35834979, 1.27703476, 1.37541008, -4.61904907, 1.90390050
