Frame,20230915_CodeDev_KNHS_34A:T1,20230915_CodeDev_KNHS_34A:T10,20230915_CodeDev_KNHS_34A:Sternum,20230915_CodeDev_KNHS_34A:Rnip,20230915_CodeDev_KNHS_34A:Lnip
Frame,T1X,T1Y,T1Z,T10X,T10Y,T10Z,SternumX,SternumY,SternumZ,RnipX,RnipY,RnipZ,LnipX,LnipY,LnipZ
76,867.0882,253.2429,1447.223,846.9351,251.8228,1182.569,988.6887,256.9875,1396.417,1047.82,162.946,1220.971,1043.953,362.8996,1227.754
77,867.0942,253.2798,1447.217,846.9437,251.8314,1182.561,988.6557,257.0442,1396.409,1047.824,163.0178,1220.979,1043.964,362.9597,1227.776
78,867.0892,253.2945,1447.218,846.9317,251.8748,1182.556,988.6658,257.0558,1396.435,1047.816,163.0278,1220.988,1043.985,363.0018,1227.789
79,867.0959,253.3095,1447.219,846.9159,251.8963,1182.569,988.6631,257.0762,1396.444,1047.805,163.0578,1220.99,1043.991,363.0149,1227.803
80,867.1008,253.3374,1447.215,846.9078,251.942,1182.577,988.6337,257.0642,1396.448,1047.784,163.0597,1220.996,1043.977,363.0178,1227.826
81,867.0743,253.3263,1447.234,846.8967,251.972,1182.595,988.6433,257.0311,1396.461,1047.761,163.0368,1220.976,1043.734,362.9294,1227.821
82,867.085,253.3463,1447.255,846.8765,252.0258,1182.63,988.6108,257.0363,1396.441,1047.751,163.041,1220.972,1043.911,362.9861,1227.812
83,867.0616,253.3477,1447.275,846.8708,252.0239,1182.663,988.6083,257.0219,1396.42,1047.738,163.0385,1220.96,1043.907,362.9947,1227.805
84,867.0785,253.3575,1447.277,846.864,252.0784,1182.671,988.5953,257.0293,1396.421,1047.718,163.0539,1220.93,1043.905,363.0063,1227.791
85,867.0919,253.3956,1447.284,846.865,252.1398,1182.68,988.5853,257.0492,1396.401,1047.698,163.0751,1220.911,1043.892,363.0257,1227.785
86,867.0943,253.4215,1447.285,846.8544,252.1529,1182.671,988.5671,257.0823,1396.375,1047.699,163.1026,1220.887,1043.909,363.0766,1227.758
87,867.0842,253.4194,1447.291,846.8646,252.1761,1182.651,988.7437,257.1518,1396.477,1047.693,163.1368,1220.879,1043.926,363.1093,1227.757
88,867.0634,253.4524,1447.269,846.8465,252.2173,1182.631,988.7255,257.194,1396.453,1047.674,163.1837,1220.854,1043.927,363.146,1227.753
89,867.0366,253.48,1447.244,846.8024,252.2253,1182.615,988.6197,257.1419,1396.375,1047.655,163.1912,1220.836,1043.905,363.1708,1227.749
90,867.0304,253.4725,1447.224,846.7979,252.2703,1182.575,988.585,257.174,1396.364,1047.655,163.2113,1220.83,1043.908,363.1927,1227.755
91,867.0177,253.4889,1447.228,846.761,252.2863,1182.559,988.5958,257.2037,1396.359,1047.645,163.2431,1220.835,1043.908,363.2048,1227.764
92,867.0097,253.5232,1447.229,846.7401,252.3235,1182.551,988.5975,257.2314,1396.37,1047.637,163.296,1220.82,1043.907,363.2505,1227.768
93,867.0197,253.537,1447.228,846.7657,252.3604,1182.559,988.5953,257.244,1396.372,1047.635,163.3374,1220.818,1043.906,363.2805,1227.779
94,867.0255,253.5519,1447.235,846.7599,252.3895,1182.56,988.5912,257.2555,1396.38,1047.638,163.3302,1220.811,1043.692,363.2471,1227.786
95,867.036,253.5967,1447.236,846.7802,252.4571,1182.57,988.7302,257.3245,1396.455,1047.627,163.3557,1220.808,1043.894,363.3387,1227.767
96,867.0488,253.6207,1447.244,846.7766,252.4864,1182.584,988.7089,257.3284,1396.46,1047.621,163.36,1220.791,1043.891,363.3465,1227.755
97,867.0615,253.6332,1447.261,846.77,252.5486,1182.614,988.6974,257.3488,1396.454,1047.615,163.3766,1220.788,1043.702,363.3033,1227.749
98,867.0489,253.6202,1447.275,846.7367,252.5682,1182.654,988.5601,257.2926,1396.347,1047.616,163.38,1220.772,1043.687,363.3085,1227.73
99,867.0223,253.6464,1447.269,846.7251,252.6002,1182.635,988.5429,257.2867,1396.33,1047.6,163.3932,1220.738,1043.665,363.3184,1227.719
100,867.017,253.6642,1447.26,846.7047,252.6142,1182.63,988.7012,257.3663,1396.421,1047.583,163.42,1220.729,1043.843,363.4096,1227.713
101,867.0183,253.6733,1447.258,846.7169,252.6565,1182.602,988.5414,257.3259,1396.315,1047.576,163.4327,1220.737,1043.629,363.3581,1227.693
102,867.0064,253.6992,1447.256,846.7059,252.6625,1182.604,988.5404,257.374,1396.319,1047.572,163.4807,1220.719,1043.633,363.3985,1227.708
103,866.9982,253.716,1447.249,846.7184,252.6935,1182.571,988.7188,257.451,1396.419,1047.559,163.5297,1220.693,1043.819,363.5338,1227.727
104,866.9769,253.7558,1447.248,846.696,252.7354,1182.544,988.5922,257.4332,1396.35,1047.555,163.5615,1220.696,1043.827,363.5869,1227.745
105,866.9871,253.781,1447.231,846.6776,252.7502,1182.542,988.7335,257.5379,1396.45,1047.551,163.6262,1220.702,1043.623,363.545,1227.756
106,866.964,253.7879,1447.223,846.6696,252.761,1182.515,988.576,257.5234,1396.358,1047.545,163.6347,1220.701,1043.625,363.5721,1227.769
107,866.9983,253.8145,1447.214,846.6381,252.7831,1182.548,988.5653,257.5361,1396.342,1047.54,163.6821,1220.686,1043.603,363.6012,1227.792
108,866.9993,253.822,1447.236,846.6276,252.8177,1182.557,988.5259,257.5435,1396.335,1047.527,163.6775,1220.696,1043.627,363.6256,1227.813
109,866.9995,253.8427,1447.249,846.639,252.8587,1182.607,988.2608,257.5979,1396.185,1047.534,163.7069,1220.693,1043.822,363.7049,1227.791
110,867.0045,253.8668,1447.26,846.652,252.8962,1182.623,988.4385,257.5177,1396.301,1047.521,163.6894,1220.689,1043.611,363.6382,1227.81
111,867.0256,253.8646,1447.277,846.6654,252.9256,1182.651,988.436,257.5147,1396.307,1047.5,163.6945,1220.687,1043.797,363.7197,1227.793
112,867.0068,253.8879,1447.291,846.6791,252.9545,1182.672,988.4278,257.5339,1396.289,1047.496,163.7323,1220.674,1043.613,363.6671,1227.799
113,867.0106,253.8768,1447.303,846.6459,252.9673,1182.685,988.3086,257.6458,1396.2,1047.5,163.7575,1220.661,1043.592,363.7078,1227.781
114,866.9894,253.8882,1447.308,846.6373,253.0192,1182.682,988.4441,257.6186,1396.271,1047.508,163.8184,1220.649,1043.574,363.7354,1227.775
115,866.973,253.8953,1447.313,846.6204,253.049,1182.684,988.4512,257.6476,1396.283,1047.503,163.8599,1220.65,1043.55,363.7646,1227.779
116,866.968,253.9016,1447.294,846.597,253.0235,1182.668,988.5828,257.6952,1396.359,1047.509,163.8628,1220.647,1043.529,363.7649,1227.786
117,866.9619,253.9052,1447.284,846.5756,253.0375,1182.638,988.4595,257.68,1396.271,1047.493,163.8952,1220.646,1043.721,363.8683,1227.796
118,866.9551,253.9212,1447.274,846.5936,253.0802,1182.593,988.5956,257.7548,1396.36,1047.486,163.9265,1220.648,1043.709,363.9168,1227.815
119,866.955,253.9584,1447.268,846.5573,253.0873,1182.598,988.4918,257.7371,1396.309,1047.499,163.9885,1220.648,1043.736,363.9901,1227.842
120,866.9572,253.9716,1447.268,846.5612,253.131,1182.581,988.667,257.8232,1396.421,1047.51,164.0223,1220.66,1043.741,364.0385,1227.851
121,866.9633,253.9786,1447.265,846.577,253.142,1182.569,988.6431,257.8312,1396.408,1047.508,164.0487,1220.644,1043.744,364.064,1227.848
122,866.9739,253.9895,1447.275,846.564,253.1687,1182.606,988.666,257.8258,1396.44,1047.512,164.0681,1220.657,1043.524,364.0097,1227.861
123,866.955,253.9914,1447.29,846.5487,253.1675,1182.625,988.692,257.8406,1396.467,1047.509,164.09,1220.651,1043.522,364.0241,1227.872
124,866.9647,253.9816,1447.299,846.5177,253.171,1182.656,988.5051,257.8037,1396.367,1047.513,164.0999,1220.645,1043.509,364.0415,1227.886
125,866.9888,253.9957,1447.292,846.5104,253.1916,1182.68,988.6513,257.8389,1396.441,1047.505,164.1019,1220.628,1043.513,364.0394,1227.873
126,866.966,253.982,1447.312,846.5291,253.2018,1182.705,988.6448,257.801,1396.427,1047.49,164.1031,1220.602,1043.49,364.0498,1227.872
127,866.972,253.9749,1447.327,846.5339,253.2136,1182.692,988.6607,257.7758,1396.475,1047.456,164.101,1220.604,1043.469,364.0424,1227.871
128,866.9719,253.9617,1447.33,846.5347,253.2255,1182.707,988.4728,257.7592,1396.345,1047.468,164.1162,1220.606,1043.457,364.0576,1227.865
129,866.968,253.9615,1447.315,846.5289,253.2328,1182.689,988.6117,257.8249,1396.43,1047.475,164.1686,1220.578,1043.435,364.1004,1227.857
